ppm,values
-0.9998,-2.8851
-0.9997,-2.9711
-0.9996,-3.1166
-0.9995,-3.3077
-0.9994,-3.5247
-0.99931,-3.7437
-0.99921,-3.9335
-0.99911,-4.0548
-0.99901,-4.0679
-0.99891,-3.9476
-0.99881,-3.6943
-0.99871,-3.3346
-0.99861,-2.9077
-0.99851,-2.4497
-0.99841,-1.9863
-0.99831,-1.537
-0.99821,-1.1227
-0.99811,-0.76894
-0.99802,-0.50194
-0.99792,-0.34037
-0.99782,-0.28857
-0.99772,-0.339
-0.99762,-0.48132
-0.99752,-0.70759
-0.99742,-1.0094
-0.99732,-1.3739
-0.99722,-1.7848
-0.99712,-2.2256
-0.99702,-2.6791
-0.99692,-3.1232
-0.99683,-3.5294
-0.99673,-3.8683
-0.99663,-4.1186
-0.99653,-4.2726
-0.99643,-4.3368
-0.99633,-4.3262
-0.99623,-4.2569
-0.99613,-4.1423
-0.99603,-3.9934
-0.99593,-3.8213
-0.99583,-3.6361
-0.99574,-3.4434
-0.99564,-3.2418
-0.99554,-3.0254
-0.99544,-2.7898
-0.99534,-2.5387
-0.99524,-2.2841
-0.99514,-2.0397
-0.99504,-1.8143
-0.99494,-1.6091
-0.99484,-1.4185
-0.99474,-1.2311
-0.99464,-1.0324
-0.99455,-0.80973
-0.99445,-0.55789
-0.99435,-0.28128
-0.99425,0.0070775
-0.99415,0.28765
-0.99405,0.53868
-0.99395,0.74383
-0.99385,0.90045
-0.99375,1.0235
-0.99365,1.1403
-0.99355,1.2752
-0.99345,1.4335
-0.99335,1.595
-0.99325,1.7244
-0.99316,1.7908
-0.99306,1.7853
-0.99296,1.7243
-0.99286,1.6398
-0.99276,1.5673
-0.99266,1.5347
-0.99256,1.5549
-0.99246,1.6184
-0.99236,1.6925
-0.99226,1.7286
-0.99216,1.678
-0.99206,1.5099
-0.99197,1.2197
-0.99187,0.82485
-0.99177,0.35293
-0.99167,-0.1672
-0.99157,-0.70872
-0.99147,-1.2468
-0.99137,-1.7593
-0.99127,-2.2293
-0.99117,-2.6457
-0.99107,-3.0012
-0.99097,-3.2914
-0.99087,-3.5156
-0.99078,-3.6779
-0.99068,-3.7849
-0.99058,-3.8403
-0.99048,-3.8411
-0.99038,-3.7773
-0.99028,-3.638
-0.99018,-3.4198
-0.99008,-3.1309
-0.98998,-2.7879
-0.98988,-2.4088
-0.98978,-2.0105
-0.98969,-1.6117
-0.98959,-1.2333
-0.98949,-0.89248
-0.98939,-0.59655
-0.98929,-0.3451
-0.98919,-0.13969
-0.98909,0.0078164
-0.98899,0.076307
-0.98889,0.04589
-0.98879,-0.089867
-0.98869,-0.31879
-0.98859,-0.61297
-0.98849,-0.93543
-0.9884,-1.2479
-0.9883,-1.5189
-0.9882,-1.73
-0.9881,-1.8771
-0.988,-1.9667
-0.9879,-2.0126
-0.9878,-2.0304
-0.9877,-2.0319
-0.9876,-2.0203
-0.9875,-1.9913
-0.9874,-1.9389
-0.9873,-1.8624
-0.9872,-1.7728
-0.98711,-1.6941
-0.98701,-1.6546
-0.98691,-1.6731
-0.98681,-1.749
-0.98671,-1.8664
-0.98661,-2.0059
-0.98651,-2.1531
-0.98641,-2.2965
-0.98631,-2.4229
-0.98621,-2.5143
-0.98611,-2.5496
-0.98601,-2.5073
-0.98592,-2.3743
-0.98582,-2.1597
-0.98572,-1.9042
-0.98562,-1.6688
-0.98552,-1.5071
-0.98542,-1.4368
-0.98532,-1.4332
-0.98522,-1.4472
-0.98512,-1.4373
-0.98502,-1.3909
-0.98492,-1.3247
-0.98482,-1.2671
-0.98472,-1.2375
-0.98463,-1.2352
-0.98453,-1.2396
-0.98443,-1.2222
-0.98433,-1.1657
-0.98423,-1.0783
-0.98413,-0.99382
-0.98403,-0.95242
-0.98393,-0.97471
-0.98383,-1.0495
-0.98373,-1.1424
-0.98363,-1.2176
-0.98354,-1.2567
-0.98344,-1.2695
-0.98334,-1.2917
-0.98324,-1.3702
-0.98314,-1.5423
-0.98304,-1.8175
-0.98294,-2.1726
-0.98284,-2.5631
-0.98274,-2.9399
-0.98264,-3.263
-0.98254,-3.5052
-0.98244,-3.6512
-0.98235,-3.6959
-0.98225,-3.6417
